Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
10b577c3-b668-2306-08db-d603cb3cb6d2,1981-09-15,,999-48-4833,S99962709,X49359161X,Mrs.,Kelley882,Mira443,Hudson301,,Barrows492,M,white,nonhispanic,F,Salem  Massachusetts  US,773 Schmidt Orchard Apt 65,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.424069099986276,-73.3033171654069,16175.03,1270576.48,23305
3fbc031d-54e6-ce23-2d38-099fc37f63b3,1927-12-06,2007-02-09,999-80-2224,S99992235,X81312992X,Mrs.,Isabel214,María Eugenia578,Araña824,,Lucero848,M,white,hispanic,F,Panama City  Panama  PA,1092 Johnson Knoll,Boston,Massachusetts,Suffolk County,25025,02151,42.366568867254806,-71.04705828325645,21364.81,1279666.91,9187
cd6ad38d-42a4-4548-c5b2-ac886fb55b3a,1967-11-15,2015-08-30,999-57-4425,S99992044,X82564822X,Mr.,Erasmo545,Lesley194,Zboncak558,,,M,black,nonhispanic,M,Amherst Center  Massachusetts  US,623 Kemmer Branch,Salem,Massachusetts,Essex County,25009,01907,42.463858129114335,-70.93933253003524,98009.41,97707.34,129835
1d88c2ec-47c1-1fbc-826b-e0bb50ddb4df,1943-08-20,,999-11-4149,S99935297,X86510222X,Mr.,Tod265,,Leannon79,,,M,white,nonhispanic,M,Dartmouth  Massachusetts  US,446 Turcotte Walk Suite 55,Amherst,Massachusetts,Hampshire County,,00000,42.34712471087295,-72.51050976101882,138170.31,385889.51,23791
3728d4dd-e2a1-c75a-c813-f4fc05afb83d,1974-08-07,,999-28-2965,S99991830,X35041446X,Mrs.,Marcie463,Phyliss206,Rolfson709,,Mueller846,M,white,nonhispanic,F,Malden  Massachusetts  US,212 Considine Walk Suite 49,Burlington,Massachusetts,Middlesex County,25017,01730,42.45319447844553,-71.25824959253175,410934.54,1269669.76,127436
03c10ebe-f87c-127f-0318-0da5ce059853,1930-11-18,1972-03-23,999-92-2183,S99923364,X10171148X,Mrs.,Melissia267,Jacquelynn434,Kozey370,,Mertz280,M,white,nonhispanic,F,East Sandwich  Massachusetts  US,590 Flatley Branch Unit 89,Burlington,Massachusetts,Middlesex County,25017,01803,42.53374662593273,-71.19801470527685,122067.33,990381.48,389466
bde2ca77-02c6-1577-a8ca-6a3b02cabbd8,1969-09-27,,999-14-9533,S99957854,X60345039X,Mrs.,Marinda592,Phoebe31,Leffler128,,Osinski784,W,white,nonhispanic,F,Foxborough  Massachusetts  US,389 Beatty Viaduct,Braintree,Massachusetts,Norfolk County,25021,02184,42.23053401871184,-71.0420888505703,884332.52,139242.33,110338
87f4c224-97db-ebce-0a90-150370d2b56b,1957-06-29,,999-88-9054,S99979294,X46714303X,Mr.,Normand813,Timothy142,Parker433,,,M,white,nonhispanic,M,Saugus  Massachusetts  US,170 Kihn Club Apt 8,Pinehurst,Massachusetts,Middlesex County,25017,01866,42.57250072646867,-71.28233196313246,20148.91,379682.69,16068
54d174cc-0236-0c47-c1e8-687c51c73786,1967-11-15,,999-67-1339,S99913838,X20614178X,Mr.,Loren192,Stewart672,Effertz744,,,M,black,nonhispanic,M,Methuen  Massachusetts  US,492 Larson Approach Apt 56,Salem,Massachusetts,Essex County,25009,01970,42.4964587966001,-70.86542817133616,174949.10,87703.61,129835
e4a973ec-bc18-c303-a8c0-c7525cb29d1c,1927-12-06,,999-38-6416,S99963456,X55375198X,Ms.,Yolanda648,Luz785,Granados71,,,S,white,hispanic,F,Caracas  Capital District  VE,449 Hayes Flat,Boston,Massachusetts,Suffolk County,25017,02467,42.3127289057559,-71.0757432068108,32271.38,1724856.29,9187
11452398-2b11-dbb6-376c-1c718e4611e2,1930-11-18,2021-03-17,999-36-5715,S99986470,X17044163X,Mrs.,Christie481,Marietta439,Cormier289,,Nolan344,M,white,nonhispanic,F,Winthrop  Massachusetts  US,322 Franecki Lodge Suite 66,Burlington,Massachusetts,Middlesex County,25017,01803,42.53741901442192,-71.27326984398091,267508.17,1747909.04,389466
6a9e450a-291e-d798-1bf3-f0204bc69338,1930-11-18,,999-64-8251,S99947161,X21947543X,Mrs.,Florinda19,Francis500,Howe413,,Goodwin327,M,white,nonhispanic,F,Wayland  Massachusetts  US,1042 Runte Meadow,Burlington,Massachusetts,Middlesex County,25017,01730,42.45244815550944,-71.29250271442183,153386.42,755293.69,389466
